AreaOfInterest,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,AreaMiles,MapDate
CONUS,8.38,"251,878.13","20,370,183.04",6.66,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-09-19
CONUS,1.64,"49,221.57","3,547,347.85",1.16,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-09-19
CONUS,57.81,"1,738,576.44","102,578,123.70",33.56,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-09-26
CONUS,38.28,"1,151,163.31","77,005,368.33",25.19,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-09-26
CONUS,23.95,"720,298.08","49,762,395.43",16.28,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-09-26
CONUS,6.90,"207,458.66","15,227,519.36",4.98,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-09-26
CONUS,0.74,"22,276.82","1,920,617.93",0.63,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-09-26
CONUS,60.47,"1,818,599.14","106,727,706.12",34.92,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-10-03
CONUS,40.99,"1,232,837.83","80,280,470.44",26.26,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-10-03
CONUS,26.17,"787,077.98","53,801,152.29",17.60,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-10-03
CONUS,6.99,"210,239.64","15,247,742.88",4.99,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-10-03
CONUS,0.74,"22,276.82","1,920,617.93",0.63,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-10-03
CONUS,59.49,"1,788,992.85","105,364,033.59",34.47,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-10-10
CONUS,41.03,"1,233,811.09","82,391,553.72",26.95,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-10-10
CONUS,24.29,"730,655.92","49,936,239.52",16.34,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-10-10
CONUS,5.87,"176,592.68","11,954,403.60",3.91,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-10-10
CONUS,0.46,"13,878.59","1,537,197.67",0.50,0.00,0.00,1,5,D4  ,"3,007,441.07",2000-10-10
CONUS,59.80,"1,798,392.39","114,854,017.16",37.58,0.00,0.00,1,1,D0  ,"3,007,441.07",2000-10-17
CONUS,40.97,"1,232,115.81","87,999,929.57",28.79,0.00,0.00,1,2,D1  ,"3,007,441.07",2000-10-17
CONUS,22.21,"668,037.68","58,767,519.03",19.23,0.00,0.00,1,3,D2  ,"3,007,441.07",2000-10-17
CONUS,7.09,"213,185.00","16,175,328.51",5.29,0.00,0.00,1,4,D3  ,"3,007,441.07",2000-10-17
